LineagesOfInterest,BatchSource,StartDate,EndDate,weights
NULL,Westeros,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,1
BA.1,Asgard,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,15
BA.1,Gilead,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,18
BA.1,Hogwarts,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,677
BA.1,Middle-Earth,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,27
BA.1,Narnia,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,25
BA.1,Pandora,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,47
BA.1,Wakanda,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,2
BA.2,Asgard,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,213
BA.2,Gilead,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,273
BA.2,Hogwarts,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,15279
BA.2,Middle-Earth,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,649
BA.2,Narnia,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,351
BA.2,Neverland,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,17
BA.2,Pandora,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,706
BA.2,Wakanda,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,36
BA.2,Westeros,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,9
Delta,Hogwarts,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,3
Omicron,Gilead,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,1
Omicron,Hogwarts,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,40
Omicron,Pandora,2022-02-14 00.00.00.000,2022-02-20 00.00.00.000,9
NULL,Agrabah,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,8
NULL,Asgard,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,57
NULL,Gilead,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,72
NULL,Hogwarts,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,1018
NULL,Middle-Earth,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,142
NULL,Narnia,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,67
NULL,Pandora,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,108
NULL,Wakanda,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,9
BA.1,Agrabah,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,3
BA.1,Asgard,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,9
BA.1,Gilead,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,6
BA.1,Hogwarts,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,395
BA.1,Middle-Earth,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,14
BA.1,Narnia,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,15
BA.1,Neverland,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,1
BA.1,Pandora,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,20
BA.1,Wakanda,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,1
BA.2,Agrabah,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,20
BA.2,Asgard,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,266
BA.2,Gilead,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,206
BA.2,Hogwarts,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,13444
BA.2,Middle-Earth,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,536
BA.2,Narnia,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,290
BA.2,Neverland,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,24
BA.2,Pandora,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,469
BA.2,Wakanda,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,80
BA.2,Westeros,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,1
Delta,Agrabah,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,1
Delta,Narnia,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,2
Omicron,Hogwarts,2022-02-21 00.00.00.000,2022-02-27 00.00.00.000,14
NULL,Agrabah,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,2
NULL,Asgard,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,32
NULL,Gilead,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,68
NULL,Hogwarts,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,334
NULL,Middle-Earth,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,38
NULL,Narnia,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,44
NULL,Pandora,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,39
BA.1,Agrabah,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,2
BA.1,Asgard,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,3
BA.1,Gilead,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,1
BA.1,Hogwarts,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,123
BA.1,Middle-Earth,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,3
BA.1,Narnia,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,5
BA.1,Pandora,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,4
BA.2,Agrabah,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,38
BA.2,Asgard,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,127
BA.2,Gilead,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,71
BA.2,Hogwarts,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,5483
BA.2,Middle-Earth,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,225
BA.2,Narnia,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,113
BA.2,Pandora,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,170
BA.2,Wakanda,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,19
Delta,Narnia,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,1
Omicron,Hogwarts,2022-02-28 00.00.00.000,2022-03-06 00.00.00.000,5
