LineagesOfInterest,DateSampling,BatchSource,weights
NULL,2021-07-15,Hogwarts,112
BA.1,2021-12-28,Gilead,28
Alpha,2021-03-17,Agrabah,7
NULL,2022-01-23,Pandora,32
NULL,2021-09-12,Hogwarts,61
BA.2,2021-12-25,Pandora,8
BA.2,2022-02-18,Gilead,43
Alpha,2021-05-12,Agrabah,6
NULL,2022-01-08,Hogwarts,196
Delta,2021-11-27,Pandora,7
NULL,2021-09-16,Hogwarts,23
Alpha,2020-12-18,Panem,9
NULL,2021-07-10,Hogwarts,164
Alpha,2020-11-25,Hogwarts,6
NULL,2020-12-23,Gilead,8
BA.1,2022-01-10,Narnia,31
NULL,2021-12-02,Narnia,3
NULL,2021-05-23,Hogwarts,11
Delta,2021-09-20,Wakanda,5
Delta,2021-08-11,Asgard,6
NULL,2021-08-16,Pandora,5
NULL,2021-08-03,Narnia,3
NULL,2021-03-11,Pandora,4
BA.2,2022-02-24,Neverland,8
BA.2,2021-12-28,Wakanda,3
BA.2,2022-02-01,Agrabah,17
Alpha,2020-12-19,Panem,15
Delta,2021-12-13,Hogwarts,1268
BA.1,2022-01-18,Narnia,30
BA.1,2021-12-13,Wakanda,8
Alpha,2021-04-26,Narnia,14
Alpha,2021-04-28,Pandora,4
NULL,2022-02-16,Middle-Earth,30
Delta,2021-11-09,Pandora,9
NULL,2022-01-15,Hogwarts,150
BA.2,2022-01-21,Pandora,171
Delta,2021-08-22,Asgard,10
NULL,2021-11-14,Hogwarts,113
Eta,2021-03-14,Panem,6
NULL,2022-01-19,Pandora,43
BA.1,2022-01-13,Narnia,19
Alpha,2021-02-01,Gilead,3
Delta,2021-09-06,Narnia,4
NULL,2021-12-12,Hogwarts,371
BA.1,2021-12-29,Narnia,21
Eta,2021-02-02,Panem,8
NULL,2021-07-25,Hogwarts,26
BA.1,2022-02-20,Narnia,3
Delta,2021-11-08,Neverland,7
Delta,2021-12-18,Gilead,3
NULL,2021-12-03,Middle-Earth,17
Delta,2021-10-29,Narnia,9
Omicron,2022-01-26,Hogwarts,6
NULL,2020-11-13,Panem,480
Delta,2021-09-27,Wakanda,7
BA.1,2021-12-11,Narnia,4
NULL,2022-02-19,Asgard,7
NULL,2020-12-04,Hogwarts,243
BA.2,2022-01-24,Agrabah,10
NULL,2021-05-08,Hogwarts,46
BA.1,2021-12-24,Gilead,18
Alpha,2021-05-11,Agrabah,6
Delta,2021-09-24,Hogwarts,369
Delta,2021-12-20,Middle-Earth,22
Alpha,2021-05-22,Panem,267
BA.1,2022-03-01,Narnia,3
Alpha,2021-06-03,Hogwarts,797
BA.1,2022-01-29,Hogwarts,212
Alpha,2021-04-25,Panem,394
BA.1,2021-12-26,Narnia,14
NULL,2022-01-28,Pandora,29
Alpha,2021-08-06,Hogwarts,5
Delta,2021-09-27,Asgard,8
Alpha,2021-06-04,Wakanda,3
Alpha,2021-01-08,Panem,29
BA.1,2021-12-12,Hogwarts,291
BA.2,2022-01-09,Narnia,14
Delta,2021-08-27,Gilead,18
BA.2,2022-02-24,Wakanda,16
NULL,2020-11-15,Hogwarts,87
BA.2,2021-12-14,Middle-Earth,3
NULL,2021-12-06,Asgard,33
Alpha,2021-05-06,Gilead,10
NULL,2021-09-03,Asgard,3
NULL,2021-04-22,Pandora,8
Delta,2021-07-07,Wakanda,5
Alpha,2021-06-14,Asgard,4
NULL,2021-10-01,Asgard,4
NULL,2021-02-08,Hogwarts,4
Alpha,2021-05-28,Asgard,7
BA.1,2021-12-09,Asgard,5
NULL,2021-04-19,Narnia,4
Alpha,2021-05-28,Wakanda,4
NULL,2021-05-03,Agrabah,4
NULL,2021-05-06,Panem,89
NULL,2020-12-23,Pandora,18
Delta,2021-10-06,Wakanda,6
Alpha,2021-05-24,Hogwarts,723
Alpha,2021-04-27,Agrabah,5
Alpha,2021-04-12,Hogwarts,541
NULL,2021-02-02,Panem,384
BA.2,2022-02-17,Pandora,114
NULL,2021-01-26,Gilead,7
BA.2,2022-01-15,Narnia,23
BA.2,2022-01-22,Gilead,18
NULL,2021-05-10,Narnia,5
NULL,2021-01-23,Panem,406
Alpha,2021-04-27,Wakanda,6
Eta,2021-03-05,Panem,16
NULL,2020-10-25,Panem,130
NULL,2021-08-14,Gilead,4
Alpha,2021-01-26,Agrabah,6
NULL,2021-04-23,Pandora,7
Alpha,2021-05-17,Hogwarts,602
BA.1,2022-01-06,Gilead,43
BA.1,2022-01-07,Narnia,26
NULL,2021-11-16,Gilead,8
NULL,2020-09-01,Panem,184
BA.2,2022-02-20,Wakanda,6
NULL,2021-12-12,Middle-Earth,13
NULL,2020-10-08,Hogwarts,5
BA.1,2021-12-21,Pandora,100
Delta,2021-10-26,Narnia,15
NULL,2020-09-10,Middle-Earth,12
Alpha,2020-11-20,Panem,5
NULL,2021-05-19,Narnia,3
NULL,2021-07-16,Pandora,3
NULL,2021-03-30,Pandora,6
Eta,2021-02-04,Panem,5
BA.1,2022-01-16,Wakanda,7
Delta,2021-11-22,Hogwarts,2323
NULL,2020-10-15,Panem,119
NULL,2021-04-06,Panem,112
NULL,2022-02-23,Asgard,6
Delta,2021-10-18,Pandora,7
BA.1,2021-12-11,Asgard,5
Delta,2021-06-14,Hogwarts,11
Delta,2021-07-12,Hogwarts,985
NULL,2022-02-12,Hogwarts,100
Alpha,2021-05-13,Pandora,5
Delta,2021-09-20,Asgard,15
Delta,2022-01-12,Hogwarts,21
Delta,2021-09-10,Hogwarts,360
Delta,2021-12-28,Hogwarts,195
Omicron,2022-01-10,Hogwarts,10
NULL,2022-01-31,Middle-Earth,45
BA.2,2022-02-25,Middle-Earth,98
NULL,2021-04-13,Panem,277
NULL,2021-12-08,Pandora,10
NULL,2021-02-21,Panem,226
NULL,2021-05-12,Gilead,3
NULL,2021-04-26,Panem,253
Alpha,2021-04-23,Panem,448
BA.1,2021-12-27,Middle-Earth,131
BA.1,2022-02-05,Hogwarts,243
BA.1,2022-01-10,Middle-Earth,86
BA.1,2021-12-25,Narnia,11
Delta,2021-12-20,Hogwarts,635
Delta,2021-10-06,Gilead,3
BA.1,2021-12-27,Hogwarts,1462
NULL,2021-02-11,Middle-Earth,31
Alpha,2021-04-01,Narnia,12
NULL,2021-01-30,Agrabah,5
Alpha,2021-01-03,Narnia,6
NULL,2021-02-24,Pandora,5
Delta,2021-07-05,Narnia,4
NULL,2022-02-19,Narnia,6
Alpha,2021-05-26,Wakanda,3
Alpha,2021-04-07,Wakanda,3
Alpha,2021-03-05,Agrabah,5
Alpha,2021-03-16,Gilead,5
Delta,2021-05-06,Gilead,3
NULL,2022-01-26,Pandora,28
Alpha,2021-08-04,Hogwarts,19
NULL,2021-01-14,Middle-Earth,26
BA.2,2022-01-13,Gilead,20
Alpha,2021-04-28,Wakanda,8
Delta,2021-11-04,Neverland,6
NULL,2021-11-15,Pandora,5
NULL,2021-12-19,Middle-Earth,5
BA.2,2022-01-11,Middle-Earth,45
Delta,2021-08-07,Hogwarts,973
NULL,2022-02-01,Hogwarts,166
Alpha,2021-01-30,Panem,60
NULL,2021-08-10,Agrabah,3
BA.2,2022-02-14,Hogwarts,2625
NULL,2021-01-18,Middle-Earth,34
NULL,2021-01-05,Hogwarts,193
Alpha,2021-06-17,Hogwarts,176
BA.2,2022-02-17,Gilead,36
Alpha,2021-04-14,Panem,599
NULL,2020-12-31,Pandora,4
Delta,2021-12-08,Pandora,16
Alpha,2021-04-09,Narnia,11
Delta,2021-10-28,Agrabah,10
BA.2,2022-01-07,Pandora,36
NULL,2020-12-11,Gilead,40
Alpha,2021-01-24,Panem,63
Alpha,2021-06-20,Wakanda,6
NULL,2021-02-07,Middle-Earth,39
NULL,2021-12-23,Hogwarts,207
Delta,2021-11-23,Hogwarts,2358
Alpha,2020-12-11,Hogwarts,10
NULL,2021-01-26,Pandora,10
BA.1,2022-02-05,Middle-Earth,8
NULL,2020-11-20,Pandora,4
NULL,2021-07-22,Gilead,3
NULL,2021-03-01,Narnia,5
NULL,2022-02-26,Narnia,9
Delta,2021-10-29,Neverland,5
NULL,2021-04-14,Agrabah,3
Delta,2021-11-07,Narnia,4
NULL,2021-08-14,Asgard,5
Delta,2021-05-18,Panem,4
Alpha,2021-05-10,Pandora,11
NULL,2021-01-31,Narnia,8
NULL,2021-04-06,Pandora,4
Delta,2022-01-03,Hogwarts,140
NULL,2020-11-12,Hogwarts,158
NULL,2021-12-03,Hogwarts,190
NULL,2021-08-10,Hogwarts,88
Alpha,2021-07-17,Hogwarts,43
Delta,2021-09-20,Gilead,7
NULL,2021-02-27,Hogwarts,37
BA.1,2022-01-04,Middle-Earth,75
NULL,2021-01-16,Hogwarts,120
BA.1,2022-01-06,Wakanda,6
Delta,2021-12-18,Middle-Earth,15
Alpha,2021-04-28,Gilead,3
NULL,2021-11-12,Pandora,3
BA.1,2022-02-27,Hogwarts,47
NULL,2021-09-11,Hogwarts,56
Delta,2021-10-12,Wakanda,8
Delta,2021-12-05,Middle-Earth,24
BA.2,2022-01-09,Middle-Earth,57
NULL,2022-01-12,Wakanda,3
Alpha,2021-05-30,Wakanda,8
Delta,2021-08-15,Gilead,14
Omicron,2022-02-16,Hogwarts,8
Alpha,2021-03-07,Narnia,4
NULL,2021-03-29,Hogwarts,7
Delta,2021-06-29,Asgard,3
Eta,2021-03-03,Panem,7
Delta,2021-11-20,Narnia,4
NULL,2020-09-11,Panem,64
BA.1,2022-01-05,Gilead,30
NULL,2020-11-07,Hogwarts,43
BA.1,2022-01-28,Hogwarts,208
NULL,2021-02-11,Narnia,11
Delta,2021-08-24,Pandora,8
BA.2,2022-02-22,Narnia,40
NULL,2021-06-30,Hogwarts,45
NULL,2021-02-04,Hogwarts,11
NULL,2021-05-27,Hogwarts,22
NULL,2020-12-14,Panem,1204
BA.2,2022-02-14,Narnia,48
Alpha,2020-11-19,Hogwarts,10
Delta,2021-11-03,Hogwarts,2087
NULL,2021-08-28,Hogwarts,35
NULL,2021-03-05,Hogwarts,26
NULL,2022-01-07,Middle-Earth,3
NULL,2021-01-22,Hogwarts,222
NULL,2021-02-03,Gilead,5
NULL,2020-12-20,Panem,458
NULL,2022-01-27,Gilead,3
Delta,2021-12-29,Pandora,18
BA.2,2022-02-27,Asgard,31
Delta,2021-08-17,Gilead,5
Delta,2022-01-01,Narnia,6
BA.2,2022-01-18,Agrabah,9
NULL,2021-05-14,Agrabah,4
Delta,2021-12-28,Middle-Earth,6
NULL,2022-01-12,Gilead,5
NULL,2021-10-30,Agrabah,3
Alpha,2020-11-17,Panem,3
Delta,2021-10-13,Narnia,3
BA.1,2022-01-30,Gilead,4
Delta,2021-08-31,Gilead,3
NULL,2021-02-06,Panem,277
NULL,2021-06-12,Hogwarts,65
BA.1,2022-01-14,Narnia,13
Delta,2021-12-10,Gilead,15
BA.2,2022-02-09,Pandora,129
BA.2,2022-02-19,Hogwarts,1577
Delta,2021-09-25,Gilead,3
NULL,2021-10-06,Asgard,4
Alpha,2021-03-29,Agrabah,9
BA.1,2022-02-02,Wakanda,4
NULL,2021-01-22,Narnia,33
NULL,2021-12-21,Gilead,13
Alpha,2021-03-15,Panem,505
NULL,2021-02-03,Panem,320
Delta,2021-08-28,Hogwarts,1024
BA.2,2022-01-30,Narnia,42
NULL,2021-03-17,Panem,156
Alpha,2021-05-05,Hogwarts,175
Delta,2021-10-29,Hogwarts,1519
Delta,2021-07-06,Hogwarts,385
BA.1,2022-01-20,Gilead,8
NULL,2022-01-17,Wakanda,4
NULL,2022-01-11,Pandora,21
NULL,2021-11-30,Pandora,11
NULL,2020-12-31,Panem,495
NULL,2021-03-02,Pandora,16
Alpha,2021-02-21,Narnia,4
BA.2,2022-02-23,Agrabah,7
BA.1,2022-02-14,Pandora,5
BA.1,2022-02-06,Narnia,7
BA.1,2021-12-19,Gilead,17
BA.2,2022-01-13,Wakanda,8
NULL,2020-12-19,Middle-Earth,12
Eta,2021-03-18,Panem,20
NULL,2021-01-30,Panem,320
BA.1,2022-01-19,Asgard,5
Alpha,2021-07-30,Hogwarts,7
BA.1,2022-01-25,Gilead,4
Alpha,2021-02-28,Pandora,3
Eta,2021-01-22,Panem,3
NULL,2021-01-23,Pandora,3
NULL,2021-02-05,Narnia,8
Alpha,2021-06-01,Agrabah,6
NULL,2022-02-13,Hogwarts,104
NULL,2021-09-11,Asgard,4
Alpha,2021-05-27,Agrabah,8
Delta,2021-10-12,Asgard,7
Alpha,2021-05-11,Hogwarts,13
Delta,2021-11-09,Hogwarts,3021
Alpha,2021-03-05,Panem,364
NULL,2021-01-12,Panem,1051
NULL,2022-01-31,Hogwarts,343
NULL,2022-02-01,Middle-Earth,39
Omicron,2022-02-05,Hogwarts,12
NULL,2022-02-23,Hogwarts,140
Alpha,2021-08-09,Hogwarts,9
Alpha,2021-04-14,Agrabah,7
NULL,2022-02-25,Narnia,14
NULL,2021-06-06,Hogwarts,57
Delta,2021-12-02,Hogwarts,2868
BA.2,2022-02-04,Wakanda,7
Omicron,2022-02-23,Hogwarts,4
BA.1,2021-12-11,Hogwarts,241
NULL,2021-10-07,Hogwarts,49
Alpha,2021-03-04,Panem,337
BA.2,2022-02-15,Pandora,116
NULL,2022-02-22,Agrabah,5
BA.1,2021-12-30,Gilead,34
BA.2,2022-02-07,Narnia,44
BA.1,2021-12-12,Asgard,9
Delta,2021-08-01,Pandora,3
BA.1,2022-02-02,Gilead,3
NULL,2021-04-13,Pandora,3
Alpha,2021-01-25,Middle-Earth,6
NULL,2020-12-17,Middle-Earth,22
Delta,2021-12-12,Middle-Earth,34
Delta,2021-07-14,Asgard,4
Alpha,2021-04-03,Gilead,5
NULL,2021-12-05,Middle-Earth,15
Delta,2021-09-05,Neverland,4
Alpha,2021-05-24,Asgard,5
NULL,2021-12-04,Pandora,6
Alpha,2021-03-08,Narnia,3
BA.1,2021-12-17,Narnia,4
NULL,2021-09-09,Hogwarts,75
Delta,2021-10-08,Asgard,11
BA.1,2021-12-04,Hogwarts,68
NULL,2021-06-25,Hogwarts,43
NULL,2021-09-14,Hogwarts,58
NULL,2021-01-15,Hogwarts,136
NULL,2021-04-01,Hogwarts,6
NULL,2022-01-10,Pandora,27
NULL,2020-12-12,Gilead,39
BA.1,2022-02-23,Pandora,5
NULL,2021-04-23,Hogwarts,40
Alpha,2021-02-16,Panem,233
Delta,2021-12-10,Asgard,25
Alpha,2021-04-16,Pandora,6
Delta,2021-10-14,Agrabah,4
BA.2,2022-01-03,Middle-Earth,82
BA.2,2022-02-06,Asgard,19
NULL,2021-05-28,Hogwarts,97
Alpha,2021-04-20,Narnia,10
Alpha,2020-11-26,Panem,5
BA.1,2022-01-19,Gilead,11
Delta,2021-11-23,Narnia,25
NULL,2020-09-12,Middle-Earth,10
Delta,2021-08-10,Agrabah,7
Alpha,2021-03-13,Pandora,7
Delta,2021-12-17,Gilead,6
BA.2,2021-12-23,Hogwarts,73
NULL,2021-07-27,Hogwarts,75
BA.1,2022-02-09,Hogwarts,99
NULL,2020-10-23,Hogwarts,21
NULL,2020-10-21,Panem,31
BA.1,2022-01-12,Middle-Earth,37
NULL,2020-09-23,Hogwarts,37
BA.2,2022-01-27,Gilead,19
NULL,2021-12-31,Pandora,8
NULL,2021-02-12,Panem,201
Alpha,2021-03-24,Agrabah,12
NULL,2021-02-26,Panem,204
Alpha,2020-12-01,Panem,21
NULL,2022-02-21,Middle-Earth,23
NULL,2020-12-18,Middle-Earth,10
Alpha,2020-12-02,Gilead,3
Delta,2021-10-31,Wakanda,5
NULL,2020-12-24,Narnia,7
NULL,2021-02-28,Narnia,5
Alpha,2021-03-23,Agrabah,5
Delta,2021-12-03,Gilead,23
Delta,2021-08-27,Pandora,6
Alpha,2020-12-19,Hogwarts,7
NULL,2021-02-14,Narnia,4
Alpha,2020-11-15,Panem,12
BA.2,2022-01-13,Asgard,13
BA.2,2022-01-18,Narnia,32
Delta,2021-07-06,Asgard,11
NULL,2021-02-05,Hogwarts,5
NULL,2021-09-10,Hogwarts,23
NULL,2021-03-31,Narnia,7
NULL,2020-12-20,Narnia,28
NULL,2022-01-23,Gilead,6
Delta,2021-09-09,Hogwarts,565
Eta,2021-01-30,Panem,8
BA.1,2022-01-07,Asgard,16
Delta,2021-08-09,Wakanda,6
Alpha,2020-11-29,Panem,19
Delta,2021-08-22,Narnia,9
Alpha,2021-06-22,Hogwarts,134
Delta,2021-11-03,Agrabah,3
Delta,2021-10-23,Asgard,11
NULL,2021-06-27,Narnia,3
NULL,2022-02-18,Narnia,16
Delta,2021-12-04,Wakanda,8
Alpha,2021-02-27,Gilead,3
Alpha,2021-03-27,Pandora,5
BA.1,2022-01-22,Narnia,9
Alpha,2021-01-16,Hogwarts,4
NULL,2020-12-13,Panem,849
Delta,2021-11-24,Narnia,28
Delta,2021-12-06,Asgard,63
Delta,2021-11-26,Hogwarts,2256
BA.2,2022-01-29,Hogwarts,1236
Delta,2021-06-26,Hogwarts,57
Delta,2021-11-01,Hogwarts,1506
NULL,2021-10-04,Hogwarts,51
NULL,2021-06-17,Hogwarts,42
Alpha,2021-03-15,Narnia,9
Delta,2021-12-18,Wakanda,8
BA.1,2022-01-11,Asgard,15
BA.2,2022-02-16,Wakanda,7
NULL,2021-06-04,Narnia,4
NULL,2021-05-08,Panem,104
NULL,2022-02-23,Middle-Earth,26
Alpha,2021-04-28,Panem,620
NULL,2021-01-11,Middle-Earth,76
Delta,2021-09-27,Gilead,5
NULL,2021-05-06,Pandora,5
BA.1,2021-12-09,Gilead,5
BA.2,2022-03-01,Narnia,43
NULL,2021-02-19,Narnia,6
BA.2,2022-02-05,Hogwarts,2070
BA.2,2022-01-12,Pandora,76
NULL,2021-04-24,Panem,58
Delta,2021-10-22,Asgard,14
Delta,2021-10-18,Wakanda,10
NULL,2022-02-18,Hogwarts,132
Alpha,2021-02-25,Agrabah,7
NULL,2021-03-14,Agrabah,4
NULL,2021-04-08,Narnia,9
NULL,2021-03-03,Agrabah,10
BA.2,2021-12-24,Middle-Earth,5
Delta,2022-01-05,Narnia,4
Alpha,2021-04-22,Gilead,4
NULL,2022-01-14,Gilead,3
Alpha,2021-04-10,Agrabah,4
NULL,2021-02-17,Narnia,3
Alpha,2021-05-13,Wakanda,3
NULL,2021-10-22,Gilead,3
Delta,2021-05-11,Panem,7
Alpha,2021-05-05,Narnia,13
NULL,2021-02-16,Narnia,14
Alpha,2021-01-02,Narnia,3
Alpha,2021-02-04,Panem,78
Alpha,2021-04-20,Hogwarts,58
Alpha,2021-01-29,Middle-Earth,10
BA.1,2021-12-08,Pandora,10
BA.1,2022-01-07,Pandora,64
Delta,2021-12-16,Hogwarts,641
BA.2,2022-01-26,Narnia,50
NULL,2021-10-20,Asgard,7
BA.1,2022-01-13,Asgard,14
BA.2,2022-01-21,Gilead,11
NULL,2021-01-24,Agrabah,3
Alpha,2021-05-11,Narnia,15
NULL,2022-01-24,Narnia,15
Alpha,2021-04-18,Hogwarts,314
Delta,2021-06-28,Hogwarts,260
NULL,2021-11-23,Hogwarts,148
NULL,2022-01-06,Asgard,12
NULL,2021-03-12,Narnia,3
Eta,2021-03-06,Panem,7
NULL,2020-11-23,Middle-Earth,20
NULL,2021-01-04,Panem,974
Alpha,2021-06-21,Hogwarts,153
NULL,2022-01-22,Hogwarts,160
Alpha,2021-03-26,Gilead,7
Alpha,2021-05-30,Panem,70
Delta,2021-09-02,Wakanda,6
NULL,2021-03-07,Gilead,4
Delta,2021-08-19,Agrabah,3
NULL,2022-02-27,Pandora,5
Alpha,2021-01-09,Hogwarts,5
Alpha,2021-02-10,Middle-Earth,5
Delta,2021-08-17,Wakanda,3
NULL,2021-03-26,Hogwarts,5
Delta,2022-02-01,Hogwarts,3
NULL,2021-12-20,Hogwarts,528
Alpha,2021-05-14,Pandora,10
NULL,2022-02-24,Narnia,17
NULL,2021-01-03,Panem,828
NULL,2021-01-13,Narnia,29
NULL,2020-11-05,Panem,321
Delta,2022-01-04,Gilead,7
Delta,2021-06-13,Hogwarts,17
BA.2,2022-02-08,Narnia,50
Alpha,2021-07-09,Hogwarts,82
Delta,2021-09-27,Pandora,3
Delta,2021-11-09,Agrabah,9
NULL,2020-11-25,Middle-Earth,24
BA.2,2022-02-18,Neverland,8
NULL,2021-01-08,Panem,825
Alpha,2021-03-24,Narnia,7
NULL,2022-02-06,Pandora,27
Delta,2021-11-15,Neverland,16
NULL,2021-11-25,Pandora,13
BA.2,2022-02-13,Hogwarts,2322
BA.1,2022-01-26,Hogwarts,368
NULL,2021-06-09,Hogwarts,28
BA.1,2022-02-10,Narnia,7
BA.1,2022-01-16,Gilead,38
Delta,2022-01-06,Hogwarts,35
Delta,2021-12-15,Pandora,32
Delta,2021-11-02,Wakanda,22
NULL,2022-02-03,Narnia,13
Delta,2021-11-27,Gilead,8
Delta,2021-12-11,Pandora,11
NULL,2021-12-22,Narnia,4
Alpha,2021-03-02,Agrabah,11
Alpha,2020-12-01,Gilead,3
BA.2,2022-01-20,Middle-Earth,10
Eta,2021-04-02,Panem,3
Gamma,2021-06-07,Hogwarts,3
NULL,2022-02-06,Gilead,7
BA.1,2022-01-12,Hogwarts,1055
Delta,2021-07-14,Gilead,7
Delta,2021-07-05,Hogwarts,318
Delta,2021-12-19,Pandora,13
NULL,2020-11-02,Panem,358
Delta,2021-07-27,Asgard,15
BA.1,2022-02-15,Middle-Earth,7
NULL,2021-03-08,Pandora,7
NULL,2021-04-29,Panem,162
Alpha,2021-02-18,Agrabah,8
Alpha,2021-03-18,Pandora,14
Delta,2021-11-19,Hogwarts,1988
BA.1,2021-12-12,Gilead,4
NULL,2020-12-13,Pandora,19
Delta,2021-07-08,Asgard,24
Alpha,2021-05-28,Panem,643
Alpha,2021-07-04,Hogwarts,94
NULL,2021-02-24,Panem,223
NULL,2021-12-08,Asgard,6
BA.1,2021-12-25,Hogwarts,258
BA.1,2022-01-10,Hogwarts,835
Delta,2021-12-09,Hogwarts,1184
BA.1,2021-12-31,Middle-Earth,8
NULL,2020-10-10,Middle-Earth,8
Delta,2021-08-19,Hogwarts,999
Delta,2021-08-05,Narnia,10
NULL,2021-07-27,Narnia,3
Delta,2021-10-18,Asgard,15
NULL,2021-05-26,Pandora,5
Alpha,2021-05-04,Wakanda,3
Delta,2021-05-28,Hogwarts,3
Delta,2021-12-22,Narnia,3
Delta,2021-08-02,Pandora,3
Alpha,2021-01-03,Hogwarts,4
Alpha,2021-03-31,Panem,554
NULL,2020-10-22,Hogwarts,47
BA.1,2021-12-15,Narnia,14
Alpha,2021-05-31,Narnia,13
Beta,2021-04-22,Panem,9
Delta,2021-07-20,Pandora,4
NULL,2021-12-24,Pandora,13
Delta,2022-01-08,Asgard,3
NULL,2022-01-22,Asgard,10
NULL,2021-05-12,Panem,158
NULL,2021-03-20,Panem,116
Alpha,2021-06-01,Narnia,11
NULL,2020-09-14,Hogwarts,5
NULL,2020-09-20,Panem,290
Delta,2021-06-24,Hogwarts,71
Delta,2021-12-19,Wakanda,8
BA.2,2022-02-16,Pandora,119
BA.2,2022-01-16,Narnia,28
NULL,2021-06-14,Hogwarts,39
Alpha,2021-06-12,Wakanda,3
NULL,2021-03-15,Panem,237
BA.1,2022-01-17,Asgard,12
NULL,2021-09-17,Hogwarts,26
NULL,2020-12-08,Gilead,52
NULL,2021-01-05,Pandora,3
Alpha,2021-06-10,Wakanda,3
Gamma,2021-05-21,Hogwarts,4
Delta,2021-10-27,Gilead,5
NULL,2021-05-11,Pandora,6
NULL,2021-02-05,Agrabah,4
Omicron,2022-01-16,Hogwarts,12
Alpha,2021-02-18,Gilead,3
Alpha,2021-04-04,Panem,344
NULL,2021-01-10,Middle-Earth,16
NULL,2021-07-29,Hogwarts,71
Delta,2021-06-30,Hogwarts,397
BA.1,2022-01-30,Asgard,3
Delta,2021-08-31,Asgard,7
Alpha,2021-04-25,Gilead,3
BA.2,2022-01-19,Middle-Earth,33
Delta,2021-11-23,Agrabah,18
NULL,2021-01-20,Middle-Earth,40
NULL,2021-01-18,Narnia,30
NULL,2022-01-10,Asgard,17
Omicron,2022-01-24,Hogwarts,21
NULL,2020-12-28,Gilead,7
BA.2,2022-02-08,Hogwarts,1875
BA.2,2022-02-27,Gilead,13
Delta,2021-10-25,Neverland,3
NULL,2022-02-10,Pandora,23
Alpha,2021-02-21,Agrabah,4
BA.2,2022-01-03,Narnia,8
BA.2,2022-02-28,Pandora,92
BA.1,2022-01-29,Middle-Earth,14
NULL,2021-01-28,Panem,486
Delta,2021-09-28,Hogwarts,516
BA.1,2022-01-11,Hogwarts,1054
BA.1,2022-01-31,Pandora,35
Omicron,2022-01-29,Hogwarts,6
NULL,2021-06-13,Hogwarts,48
NULL,2021-10-19,Asgard,6
BA.2,2022-01-01,Asgard,5
BA.2,2022-01-02,Narnia,4
NULL,2021-01-07,Gilead,3
Delta,2021-08-07,Agrabah,4
Delta,2021-11-14,Asgard,10
Beta,2021-03-31,Panem,5
NULL,2021-12-26,Wakanda,3
BA.2,2021-12-30,Gilead,7
BA.1,2022-02-05,Narnia,5
NULL,2021-08-17,Gilead,5
Alpha,2021-03-08,Agrabah,3
Alpha,2021-03-22,Pandora,7
Beta,2021-04-08,Panem,4
Alpha,2021-05-07,Agrabah,3
Delta,2021-05-06,Panem,3
Alpha,2021-03-17,Hogwarts,20
Alpha,2020-12-22,Hogwarts,3
BA.1,2021-12-08,Hogwarts,208
NULL,2021-02-09,Middle-Earth,63
Alpha,2021-05-16,Hogwarts,493
BA.1,2022-02-10,Hogwarts,113
NULL,2021-01-01,Narnia,83
BA.2,2022-01-06,Asgard,7
NULL,2021-05-03,Panem,200
Alpha,2021-05-08,Hogwarts,365
Delta,2021-11-12,Asgard,24
Delta,2021-08-26,Narnia,9
BA.1,2021-12-18,Hogwarts,643
BA.2,2022-02-15,Wakanda,14
BA.1,2022-01-17,Narnia,23
Delta,2021-12-01,Pandora,21
BA.1,2021-12-06,Middle-Earth,6
NULL,2021-12-29,Pandora,24
Delta,2021-11-13,Gilead,13
Delta,2021-09-05,Hogwarts,486
Delta,2021-12-26,Pandora,9
Eta,2021-03-31,Gilead,3
Alpha,2021-04-03,Panem,572
NULL,2022-01-20,Hogwarts,128
Alpha,2021-04-05,Panem,217
Delta,2021-06-29,Pandora,4
Delta,2021-07-19,Gilead,4
BA.1,2022-01-18,Gilead,10
BA.1,2022-01-25,Middle-Earth,24
Delta,2021-10-20,Wakanda,6
BA.1,2022-01-02,Gilead,22
BA.2,2022-01-31,Asgard,33
Alpha,2021-01-26,Panem,93
NULL,2021-07-06,Asgard,10
NULL,2021-09-09,Wakanda,5
Delta,2021-07-23,Asgard,3
Alpha,2020-12-07,Gilead,9
Delta,2021-05-10,Panem,4
Alpha,2020-12-21,Hogwarts,6
NULL,2021-04-14,Gilead,3
Alpha,2021-03-12,Hogwarts,3
Alpha,2021-04-16,Hogwarts,154
NULL,2021-12-22,Gilead,7
BA.2,2022-02-13,Pandora,71
BA.1,2022-01-19,Narnia,22
NULL,2020-10-14,Panem,247
NULL,2020-11-16,Middle-Earth,10
BA.1,2022-02-06,Pandora,10
NULL,2021-12-15,Hogwarts,506
BA.2,2022-02-18,Asgard,35
BA.1,2022-01-31,Hogwarts,448
Omicron,2022-01-09,Hogwarts,9
NULL,2022-01-05,Gilead,5
NULL,2021-01-28,Narnia,14
NULL,2022-01-23,Narnia,7
Delta,2021-11-13,Narnia,17
Alpha,2020-11-21,Panem,11
Delta,2021-09-16,Neverland,3
Delta,2021-12-11,Hogwarts,1224
NULL,2021-11-25,Asgard,6
NULL,2021-08-28,Asgard,4
BA.2,2021-12-12,Hogwarts,4
Alpha,2021-05-25,Narnia,16
BA.1,2022-01-17,Gilead,36
Alpha,2021-03-25,Pandora,6
Alpha,2021-03-28,Narnia,4
Delta,2021-08-15,Narnia,10
